佾	〔亻八月・EKWy・yì〕
使	〔亻一口乂・EFLS・shǐ〕
侀	〔亻一卄刂・EFSM・xíng〕
侁	〔亻⺧儿・EPWr・shēn〕
侂	〔亻广丿七・EMGX・tuō〕
侃	〔亻口{荒下}・ELWr・kǎn〕
侄	〔亻至・EDzⓡ・zhí〕
侅	〔亻亥・EThⓡ・gāi|hài〕
來	〔來・Alⓛ・lái|lài〕
侇	〔亻大弓・EOBg・yí〕
侈	〔亻夕夕・EXXx・chǐ〕
侉	〔亻大一丂・EOFH・kuǎ|huá|è|wú〕
侊	〔亻⺌兀・EILw・guāng〕
例	〔亻一夕刂・EFXM・lì|liè〕
侌	〔人丶乛厶・RKYN・yīn〕
侍	〔亻土寸・EHKc・shì〕
侎	〔亻米・EQmⓡ・mǐ〕
侏	〔亻牛八・EPKa・zhū|zhōu〕
侐	〔亻丿皿・EGUm・xù〕
侑	〔亻ナ月・EEWy・yòu〕
侒	〔亻宀女・EICn・ān|ǎn〕
侓	〔亻彐{奉下}・EBAk・lù〕
侔	〔亻厶牛・ENPn・móu|máo〕
侕	〔亻而・ESrⓡ・ér〕
侖	〔人一冊・RFCe・lún|lùn〕
侗	〔亻冂一口・ECFL・dòng|tōng|tóng|tǒng〕
侘	〔亻宀丿七・EIGX・chà〕
侙	〔亻弋工・EKPg・chī〕
侚	〔亻勹日・EWJr・xùn|xún〕
供	〔亻龷八・ESKa・gōng|gòng〕
侜	〔亻舟・EUoⓡ・zhōu〕
依	〔亻亠{衣下}・EAGy・yī|yǐ〕
侞	〔亻女口・ECLv・rú〕
侟	〔亻ナ丨子・EEUK・cún|jiàn〕
侠	〔亻夫丷・EOQk・xiá〕
価	〔亻西・EPxⓡ・sì〕
侢	〔亻一冂土・EFCH・dài〕
侣	〔亻口口・ELLv・lǚ〕
侤	〔亻耂丂・EHHk・ta〕
侥	〔亻七丿兀・EXGL・jiǎo|yáo〕
侦	〔亻⺊贝・EUCb・zhēn〕
侧	〔亻贝刂・ECMd・cè|zè|zhāi〕
侨	〔亻夭{介下}・EMKa・qiáo〕
侩	〔亻人二厶・ERIN・kuài〕
侪	〔亻文{介下}・ETKa・chái〕
侫	〔亻亡女・ETCn・nìng〕
侬	〔亻冖{衣下}・EXGy・nóng〕
侭	〔亻尸乀⺀・EBKI・jǐn〕
侮	〔亻{乞上}母・EGEm・wǔ〕
侯	〔亻コ矢・EBJi・hóu|hòu〕
侰	〔亻彐丿口・EBGL・jiǒng〕
侱	〔亻口王・ELJw・chěng|tǐng〕
侲	〔亻辰・EMcⓡ・zhèn|zhēn|chēn〕
侳	〔亻人人土・ERRH・zuò〕
侴	〔人一丑刂・RFBM・chǒu〕
侵	〔亻彐冖又・EBXB・qīn|qǐn〕
侶	〔亻口{囟框}・ELDx・lǚ〕
侷	〔亻尸乛口・EBYL・jú〕
侸	〔亻一口䒑・EFLQ・shù|dōu〕
侹	〔亻壬廴・EMGy・tǐng〕
侺	〔亻山人乛・EURY・shèn〕
侻	〔亻丷口儿・EQLW・tuì|tuō〕
侼	〔亻十冖子・EGXK・bó〕
侽	〔亻田力・EVSl・nán〕
侾	〔亻耂子・EHKz・xiāo〕
便	〔亻一日乂・EFJS・biàn|pián|biān〕
俀	〔亻爪女・EUCn・tuǐ〕
俁	〔亻口㇉大・ELEO・yǔ〕
係	〔亻丿糸・EGOs・xì〕
促	〔亻足・EPzⓡ・cù|chuò〕
俄	〔亻丿扌戈・EGFK・é〕
俅	〔亻一水丶・EFNK・qiú〕
俆	〔亻人一朩・ERFA・xú|shū〕
俇	〔亻犭王・EHJw・guàng〕
俈	〔亻⺧口・EPLv・kù〕
俉	〔亻一{五下}口・EFBL・wǔ|wú〕
俊	〔亻厶八夊・ENKT・jùn|shùn|dūn〕
俋	〔亻口巴・ELOb・yì〕
俌	〔亻甫・ENfⓡ・fǔ〕
俍	〔亻丶艮・EKGg・liáng|lǎng〕
俎	〔人人且・RRJq・zǔ〕
俏	〔亻⺌月・EIWy・qiào|xiào|xiāo〕
俐	〔亻禾刂・EMMd・lì〕
俑	〔亻マ用・EBSy・yǒng〕
俒	〔亻宀一兀・EIFL・hùn〕
俓	〔亻一巛工・EFLP・jìng|yíng〕
俔	〔亻見・EJjⓡ・qiàn|xiàn〕
俕	〔亻宀木・EIAm・sàn〕
俖	〔亻不口・EVLv・pěi〕
俗	〔亻八人口・EKRL・sú〕
俘	〔亻爪子・EUKz・fú〕
俙	〔亻乂ナ巾・ESEU・xī〕
俚	〔亻里・EVlⓡ・lǐ|lì〕
俛	〔亻⺈口儿・EXLW・fǔ|miǎn〕
俜	〔亻由丂・EDHk・pīng〕
保	〔亻口木・ELAm・bǎo〕
俞	〔人一月刂・RFWM・yú|shù〕
俟	〔亻厶矢・ENJi・qí|sì〕
俠	〔亻大人人・EORR・xiá〕
信	〔亻言・EByⓡ・xìn|shēn〕
俢	〔亻夊彡・ETCp・xiū〕
俣	〔亻口一大・ELFO・yǔ〕
俤	〔亻丷弓丿・EQBG・dì〕
俥	〔亻車・EDcⓡ・chē|jū〕
俦	〔亻丰寸・EDKc・chóu〕
俧	〔亻士心・EHRi・zhì〕
俨	〔亻一业丿・EFUG・yǎn〕
俩	〔亻一冂人・EFCR・liǎ|liǎng〕
俪	〔亻一{冂丶}{冂丶}・EFCC・lì〕
俫	〔亻一米・EFQm・lái〕
俬	〔亻禾厶・EMNa・sī〕
俭	〔亻人一{兴上}・ERFN・jiǎn〕
修	〔亻丨夊彡・EUTC・xiū〕
俯	〔亻广亻寸・EMEK・fǔ〕
俰	〔亻禾口・EMLv・huò〕
俱	〔亻{具上}八・EJKa・jù|jū〕
俲	〔亻亠八力・EAKS・xiào〕
俳	〔亻非・EUfⓡ・pái〕
俴	〔亻戈戈・EKKg・jiàn〕
俵	〔亻龶{衣下}・EHGy・biào〕
俶	〔亻上小又・EJIB・chù|shū|tì〕
俷	〔亻月巴・EWOb・fèi〕
俸	〔亻𡗗{奉下}・EOAk・fèng|běng〕
俹	〔亻一{亞下}・EFKa・yà|yā〕
俺	〔亻大电・EODd・ǎn|yàn〕
俻	〔亻夊田・ETVt・bèi〕
俼	〔亻亠厶月・EANW・yù〕
俽	〔亻斤欠・EDXq・xīn〕
俾	〔亻{卑上}十・EDGi・bǐ|bì|bēi|pì〕
俿	〔亻虎・EUhⓡ・hǔ|chí〕
倀	〔亻長・EUcⓡ・chāng|chéng|zhèng〕
倁	〔亻矢口・EJLv・zhī〕
倂	〔亻丿干干・EGNN・bìng〕
倃	〔亻夊卜口・ETUL・jiù〕
倄	〔亻乂ナ月・ESEW・yáo〕
倅	〔亻亠人十・EARG・cuì|zú〕
倆	〔亻一巾入・EFUK・liǎ|liǎng〕
倇	〔亻宀夕㔾・EIXA・wǎn〕
倈	〔亻來・EAlⓡ・lái|lài|liē〕
倉	〔人丶彐口・RKBL・cāng|chuàng〕
倊	〔亻八厶心・EKNR・zòng〕
個	〔亻囗古・EWJg・gè|gě〕
倌	〔亻宀尸コ・EIBB・guān〕
倍	〔亻立口・EKLv・bèi|péi〕
倎	〔亻冂龷八・ECSK・tiǎn〕
倏	〔亻丨夊犬・EUTH・shū〕
倐	〔亻丨夊火・EUTI・shū〕
們	〔亻門・EDmⓡ・men|mèn|mén〕
倒	〔亻至刂・EDMd・dào|dǎo〕
倓	〔亻火火・EIIh・tán|dàn|tàn〕
倔	〔亻尸屮凵・EBWW・jué|juè〕
倕	〔亻千龷一・EMSF・chuí|zhuì〕
倖	〔亻土{南心}・EHQy・xìng〕
倗	〔亻月月・EWWy・péng|pěng|píng〕
倘	〔亻尚・EIsⓡ・tǎng|cháng〕
候	〔亻丨コ矢・EUBJ・hòu〕
倚	〔亻大丁口・EOJL・yǐ|jī|yī〕
倛	〔亻其・EUqⓡ・qī|qí|qì〕
倜	〔亻⺆土口・EWHL・tì|diào|zhōu〕
倝	〔十早人・GJRe・gàn〕
倞	〔亻{京上}小・EAIv・jìng|liàng〕
借	〔亻龷日・ESJr・jiè〕
倠	〔亻隹・EEhⓡ・suī〕
倡	〔亻日日・EJJr・chàng|chāng〕
倢	〔亻一彐龰・EFBP・jié|qiè〕
倣	〔亻方夊・ETTu・fǎng〕
値	〔亻十目乚・EGJE・zhí〕
倥	〔亻穴工・EIPg・kōng|kǒng〕
倦	〔亻丷夫㔾・EQOA・juàn〕
倧	〔亻宀示・EIJs・zōng〕
倨	〔亻尸古・EBJg・jù〕
倩	〔亻龶月・EHWy・qiàn|qìng〕
倪	〔亻臼儿・EDWr・ní|nì|niè〕
倫	〔亻人一冊・ERFC・lún〕
倬	〔亻⺊早・EUJz・zhuō〕
倭	〔亻禾女・EMCn・wō|wēi|wǒ〕
倮	〔亻日木・EJAm・luǒ〕
倯	〔亻木八厶・EAKN・sōng〕
倰	〔亻土八夊・EHKT・lèng|líng〕
倱	〔亻日匕匕・EJNN・hùn〕
倲	〔亻木日・EAJr・dōng|dòng〕
倳	〔亻{于下}口彐・EKLB・zì〕
倴	〔亻大十卄・EOGS・bèn|bēn〕
