伹	〔亻且・EEq・qū|zù〕
伺	〔亻乛一口・EOFK・cì|sì〕
伻	〔亻干丷・EALb・bēng〕
似	〔亻乚丶人・ETIU・shì|sì〕
伽	〔亻力口・ESKv・gā|jiā|qié〕
伾	〔亻不一・ENFi・pī〕
伿	〔亻口八・EKMb・yì〕
佀	〔亻尸コ・ETEk・sì〕
佁	〔亻厶口・EDKv・yǐ|ǎi|sì|chì〕
佂	〔亻正・EMz・zhēng〕
佃	〔亻田・ESt・diàn|tián〕
佄	〔亻卄二・EDAe・hān|gàn〕
佅	〔亻未・EWw・mài〕
但	〔亻日一・EJFi・dàn|tǎn|yàn〕
佇	〔亻宀丁・EICd・zhù〕
佈	〔亻ナ巾・EXRj・bù〕
佉	〔亻土厶・EHDm・qū|qiā〕
佊	〔亻皮・EGp・bǐ〕
佋	〔亻刀口・EJKv・zhāo|sháo|shào〕
佌	〔亻止匕・ENBb・cǐ〕
位	〔亻立・EWl・wèi|lì〕
低	〔亻{卬左}七丶・EJGI・dī〕
住	〔亻丶王・EIYw・zhù〕
佐	〔亻ナ工・EXNg・zuǒ〕
佑	〔亻ナ口・EXKv・yòu〕
佒	〔亻冂大・EQMd・yǎng|yāng〕
体	〔亻木一・EAFi・tǐ|tī|bèn|cuì〕
佔	〔亻⺊口・EUKv・zhàn|chān|diān〕
何	〔亻丁口・ECKv・hé|hè〕
佖	〔亻心丿・ENWp・bì〕
佗	〔亻宀匕・EIBb・tuó|tuō|tuò|yí〕
佘	〔人示・UCs・shé〕
余	〔人一朩・UFAm・yú|tú|xú|yù〕
佚	〔亻丿夫・EWMf・yì|dié〕
佛	〔亻弓{介下}・EJRj・fú|fó|bó|bì〕
作	〔亻{乞上}{乍下}・EGUv・zuò|zuō|zuó〕
佝	〔亻勹口・EIKv・gōu|kòu|jū〕
佞	〔亻二女・EAWn・nìng〕
佟	〔亻夊⺀・ETAe・tóng〕
你	〔亻⺈小・EOIx・nǐ〕
佡	〔亻人山・EUJs・xiān〕
佢	〔亻匚コ・ETEk・qú〕
佣	〔亻用・EAi・yōng|yòng〕
佤	〔亻瓦・ENw・wǎ〕
佥	〔人一{兴上}・UFIx・qiān〕
佦	〔亻石・EQs・shi〕
佧	〔亻上卜・EOUb・kǎ〕
佨	〔亻勹巳・EIOs・bāo〕
佩	〔亻几一巾・ESFR・pèi〕
佪	〔亻囗口・EBKv・huí|huái〕
佫	〔亻夊口・ETKv・hè|gé〕
佬	〔亻耂匕・EHBb・lǎo|liáo〕
佭	〔亻夊㐄・ETAk・xiáng〕
佮	〔亻合・ESh・gé|é〕
佯	〔亻羊・EMi・yáng〕
佰	〔亻丆日・EVJr・bǎi|mò〕
佱	〔人一正・UFMz・fǎ〕
佲	〔亻夕口・EYKv・mǐng〕
佳	〔亻土土・EHHt・jiā〕
佴	〔亻耳・ELe・èr|nài〕
併	〔亻䒑卄・ELDn・bìng〕
佶	〔亻士口・EHKv・jí〕
佷	〔亻艮・EIg・hěn|héng〕
佸	〔亻舌・EBs・huó〕
佹	〔亻⺈厂㔾・EOVE・guǐ|guī〕
佺	〔亻人王・EUYw・quán〕
佻	〔亻儿冫{飞右}・EEAA・tiāo|tiáo|tiào|diǎo|yáo|dào|zhào〕
佼	〔亻亠八乂・ERMC・jiǎo|jiāo|xiáo〕
佽	〔亻冫欠・EAHq・cì〕
佾	〔亻八月・EMYv・yì〕
使	〔亻一口乂・EFKC・shǐ〕
侀	〔亻一卄刂・EFDO・xíng〕
侁	〔亻⺧儿・EPEe・shēn〕
侂	〔亻广丿七・EUWG・tuō〕
侃	〔亻口{荒下}・EKEe・kǎn〕
侄	〔亻至・EUz・zhí〕
侅	〔亻亥・ERh・gāi|hài〕
來	〔來・Cl・lái|lài〕
侇	〔亻大弓・EMJg・yí〕
侈	〔亻夕夕・EYYx・chǐ〕
侉	〔亻大一丂・EMFS・kuǎ|huá|è|wú〕
侊	〔亻⺌兀・EIOw・guāng〕
例	〔亻一夕刂・EFYO・lì|liè〕
侌	〔人丶乛厶・UIOD・yīn〕
侍	〔亻土寸・EHHc・shì〕
侎	〔亻米・ETm・mǐ〕
侏	〔亻牛八・EPMb・zhū|zhōu〕
侐	〔亻丿皿・EWXm・xù〕
侑	〔亻ナ月・EXYv・yòu〕
侒	〔亻宀女・EIWn・ān|ǎn〕
侓	〔亻彐{奉下}・EVAk・lù〕
侔	〔亻厶牛・EDPn・móu|máo〕
侕	〔亻而・EKe・ér〕
侖	〔人一冊・UFPc・lún|lùn〕
侗	〔亻冂一口・EQFK・dòng|tōng|tóng|tǒng〕
侘	〔亻宀丿七・EIWG・chà〕
侙	〔亻弋工・EKNg・chī〕
侚	〔亻勹日・EIJr・xùn|xún〕
供	〔亻龷八・EDMb・gōng|gòng〕
侜	〔亻舟・EOz・zhōu〕
依	〔亻亠{衣下}・ERSi・yī|yǐ〕
侞	〔亻女口・EWKv・rú〕
侟	〔亻ナ丨子・EXLL・cún|jiàn〕
侠	〔亻夫丷・EMLb・xiá〕
