㑇	〔㑇・(㑳)〕
镁	〔镁・(鎂)・鎂〕
镂	〔镂・(鏤)・鏤〕
镃	〔镃・鎡〕
镄	〔镄・鐨〕
镅	〔镅・鋂〕
镇	〔镇・(鎮)・鎮〕
镉	〔镉・(鎘)・鎘〕
镊	〔镊・(鑷)・鑷〕
镋	〔镋・钂〕
镌	〔镌・(鎸)・鐫〕
镍	〔镍・(鎳)・鎳〕
镎	〔镎・錼〕
镏	〔镏・(鎦)・鎦〕
镐	〔镐・(鎬)・鎬〕
镑	〔镑・(鎊)・鎊〕
镒	〔镒・(鎰)・鎰〕
镓	〔镓・(鎵)・鎵〕
镔	〔镔・(鑌)・鑌〕
镖	〔镖・(鏢)・錶〕
镗	〔镗・(鏜)・鏜〕
镘	〔镘・(鏝)・鏝〕
镚	〔镚・(鏰)〕
镛	〔镛・(鏞)・鏞〕
镜	〔镜・(鏡)・鏡〕
镝	〔镝・(鏑)・鏑〕
镞	〔镞・(鏃)・鏃〕
镠	〔镠・(鏐)〕
镡	〔镡・(鐔)〕
镢	〔镢・(鐝)〕
镣	〔镣・(鐐)・鐐〕
镤	〔镤・鏷〕
镥	〔镥・鑥〕
镦	〔镦・(鐓)・鐓〕
镧	〔镧・(鑭)・鑭〕
镨	〔镨・鐠〕
镩	〔镩・(鑹)〕
镪	〔镪・(鏹)・鏹〕
镫	〔镫・(鐙)・鐙〕
镬	〔镬・(鑊)・鑊〕
镭	〔镭・(鐳)・鐳〕
镯	〔镯・(鐲)・鐲〕
镰	〔镰・(鐮)[鎌䥥]・鐮〕
镱	〔镱・鐿〕
镲	〔镲・(鑔)・鑔〕
镳	〔镳・(鑣)・鰾〕
镴	〔镴・(鑞)・鑞〕
镵	〔镵・(鑱)〕
镶	〔镶・(鑲)・鑲〕
长	〔长・(長)・長〕
门	〔门・(門)・門〕
闩	〔闩・(閂)・閂〕
闪	〔闪・(閃)・閃〕
闫	〔闫・(閆)〕
闭	〔闭・(閉)・閉〕
问	〔问・(問)・問〕
闯	〔闯・(闖)・闖〕
闰	〔闰・(閏)・閏〕
闱	〔闱・(闈)・闈〕
闲	〔闲・(閑)[閒]・閑〕
闳	〔闳・(閎)〕
间	〔间・(間)・間〕
闵	〔闵・(閔)・閔〕
闶	〔闶・(閌)〕
闷	〔闷・(悶)・悶〕
闸	〔闸・(閘)[牐]・閘〕
闹	〔闹・(鬧)[閙]・鬧〕
闺	〔闺・(閨)・閨〕
闻	〔闻・(聞)・聞〕
闼	〔闼・(闥)・闥〕
闽	〔闽・(閩)・閩〕
闾	〔闾・(閭)・閭〕
闿	〔闿・(闓)・闓〕
阀	〔阀・(閥)・閥〕
阁	〔阁・(閣)[閤]・閣〕
阂	〔阂・(閡)・閡〕
阃	〔阃・(閫)・閫〕
阄	〔阄・(鬮)・鬮〕
阅	〔阅・(閲)・閱〕
阆	〔阆・(閬)・閬〕
阇	〔阇・(闍)〕
阈	〔阈・(閾)・閾〕
阉	〔阉・(閹)・閹〕
阊	〔阊・(閶)・閶〕
阋	〔阋・(鬩)・鬩〕
阌	〔阌・閿〕
阍	〔阍・(閽)・閽〕
阎	〔阎・(閻)・閻〕
阏	〔阏・(閼)・閼〕
阐	〔阐・(闡)・闡〕
阑	〔阑・(闌)・闌〕
阒	〔阒・(闃)・闃〕
阔	〔阔・(闊)[濶]・闊〕
阕	〔阕・(闋)・闋〕
阖	〔阖・(闔)・闔〕
阗	〔阗・(闐)・闐〕
阙	〔阙・(闕)・闕〕
阚	〔阚・(闞)・闞〕
队	〔队・(隊)・隊〕
阱	〔阱・[穽]〕
阳	〔阳・(陽)・陽〕
阴	〔阴・(陰)[隂]・陰〕
阵	〔阵・(陣)・陣〕
阶	〔阶・(階)[堦]・階〕
附	〔附・[坿]〕
际	〔际・(際)・際〕
陆	〔陆・(陸)・陸〕
陇	〔陇・(隴)・隴〕
陈	〔陈・(陳)・陳〕
陉	〔陉・(陘)・陘〕
陕	〔陕・(陝)・陝〕
陨	〔陨・(隕)・隕〕
险	〔险・(險)・險〕
随	〔随・(隨)・隨〕
隐	〔隐・(隱)・隱〕
隶	〔隶・(隸)[𨽻隷]・隸〕
隽	〔隽・[雋]〕
难	〔难・(難)・難〕
雁	〔雁・[鴈]〕
雇	〔雇・[僱]・僱〕
雍	〔雍・[雝]〕
雏	〔雏・(雛)・雛〕
雕	〔雕・[彫琱鵰]〕
雠	〔雠・(讎)[讐]・讎〕
雳	〔雳・(靂)・靂〕
雾	〔雾・(霧)・霧〕
霁	〔霁・(霽)・霽〕
霉	〔霉・(黴)・黴〕
霓	〔霓・[蜺]〕
霭	〔霭・(靄)・靄〕
霸	〔霸・[覇]〕
靓	〔靓・(靚)・靚〕
面	〔面・(面|麵)[|麪]・麵〕
靥	〔靥・(靨)・靨〕
靴	〔靴・[鞾]〕
鞋	〔鞋・[鞵]〕
鞍	〔鞍・[鞌]〕
鞑	〔鞑・(韃)・韃〕
鞒	〔鞒・(鞽)・鞽〕
鞯	〔鞯・(韉)・韉〕
韦	〔韦・(韋)・韋〕
韧	〔韧・(韌)[靭靱]・韌〕
韨	〔韨・(韍)・韍〕
韩	〔韩・(韓)・韓〕
韪	〔韪・(韙)・韙〕
韫	〔韫・(韞)・韞〕
韬	〔韬・(韜)・韜〕
韭	〔韭・[韮]〕
韵	〔韵・[韻]・韻〕
页	〔页・(頁)・頁〕
顶	〔顶・(頂)・頂〕
顷	〔顷・(頃)・頃〕
顸	〔顸・(頇)・頇〕
项	〔项・(項)・項〕
顺	〔顺・(順)・順〕
须	〔须・(須|鬚)・須|鬚〕
顼	〔顼・(頊)・頊〕
顽	〔顽・(頑)・頑〕
顾	〔顾・(顧)・顧〕
顿	〔顿・(頓)・頓〕
颀	〔颀・(頎)・頎〕
颁	〔颁・(頒)・頒〕
颂	〔颂・(頌)・頌〕
颃	〔颃・(頏)・頏〕
预	〔预・(預)・預〕
颅	〔颅・(顱)・顱〕
领	〔领・(領)・領〕
颇	〔颇・(頗)・頗〕
颈	〔颈・(頸)・頸〕
颉	〔颉・(頡)・頡〕
颊	〔颊・(頰)・頰〕
颋	〔颋・頲〕
颌	〔颌・(頜)・頜〕
颍	〔颍・(潁)・潁〕
颎	〔颎・(熲)〕
颏	〔颏・(頦)・頦〕
颐	〔颐・(頤)・頤〕
频	〔频・(頻)・頻〕
颓	〔颓・(頽)[穨]・頹〕
颔	〔颔・(頷)・頷〕
颖	〔颖・(穎)[頴]・穎〕
颗	〔颗・(顆)・顆〕
题	〔题・(題)・題〕
颙	〔颙・(顒)・顒〕
颚	〔颚・(顎)〕
颛	〔颛・(顓)・顓〕
颜	〔颜・(顔)・顏〕
额	〔额・(額)[頟]・額〕
颞	〔颞・(顳)・顳〕
颟	〔颟・(顢)・顢〕
颠	〔颠・(顛)・顛〕
颡	〔颡・(顙)・顙〕
颢	〔颢・(顥)・顥〕
颤	〔颤・(顫)・顫〕
颥	〔颥・顬〕
颦	〔颦・(顰)・顰〕
颧	〔颧・(顴)・顴〕
风	〔风・(風)・風〕
飏	〔飏・(颺)〕
飐	〔飐・(颭)〕
飑	〔飑・(颮)〕
飒	〔飒・(颯)[䬃]・颯〕
飓	〔飓・(颶)[𩗗]・颶〕
飔	〔飔・颸〕
飕	〔飕・(颼)・颼〕
飘	〔飘・(飄)[飃]・飄〕
飙	〔飙・(飆)・鑣〕
飞	〔飞・(飛)・飛〕
飧	〔飧・[飱]〕
飨	〔飨・(饗)・饗〕
餍	〔餍・(饜)・饜〕
饥	〔饥・(飢|饑)・飢|饑〕
饦	〔饦・飥〕
饧	〔饧・(餳)・餳〕
饨	〔饨・(飩)・飩〕
饩	〔饩・(餼)・餼〕
饪	〔饪・(飪)[餁]・飪〕
饫	〔饫・(飫)・飫〕
饬	〔饬・(飭)・飭〕
饭	〔饭・(飯)・飯〕
饮	〔饮・(飲)[㱃]・飲〕
饯	〔饯・(餞)・餞〕
饰	〔饰・(飾)・飾〕
饱	〔饱・(飽)・飽〕
饲	〔饲・(飼)[飤]・飼〕
饳	〔饳・(飿)・飿〕
饴	〔饴・(飴)・飴〕
饵	〔饵・(餌)・餌〕
饶	〔饶・(饒)・饒〕
饷	〔饷・(餉)[饟]・餉〕
饸	〔饸・(餄)〕
饹	〔饹・(餎)〕
饺	〔饺・(餃)・餃〕
饻	〔饻・(餏)〕
饼	〔饼・(餅)・餅〕
饽	〔饽・(餑)・餑〕
饿	〔饿・(餓)・餓〕
馁	〔馁・(餒)・餒〕
馃	〔馃・(餜)・餜〕
馄	〔馄・(餛)・餛〕
馅	〔馅・(餡)・餡〕
馆	〔馆・(館)[舘]・館〕
馇	〔馇・(餷)〕
馈	〔馈・(饋)[餽]・饋〕
馉	〔馉・餶〕
馊	〔馊・(餿)・餿〕
馋	〔馋・(饞)・饞〕
馍	〔馍・(饃)[饝]・饃〕
馎	〔馎・餺〕
馏	〔馏・(餾)・餾〕
馐	〔馐・(饈)・饈〕
馑	〔馑・(饉)・饉〕
馒	〔馒・(饅)・饅〕
馓	〔馓・(饊)〕
馔	〔馔・(饌)[籑]・饌〕
馕	〔馕・(饢)・饢〕
马	〔马・(馬)・馬〕
驭	〔驭・(馭)・馭〕
驮	〔驮・(馱)[䭾]・馱〕
驯	〔驯・(馴)・馴〕
驰	〔驰・(馳)・馳〕
驱	〔驱・(驅)[駈敺]・驅〕
驲	〔驲・(馹)〕
驳	〔驳・(駁)[駮]・駁〕
驴	〔驴・(驢)・驢〕
驵	〔驵・(駔)・駔〕
驶	〔驶・(駛)・駛〕
驷	〔驷・(駟)・駟〕
驸	〔驸・(駙)・駙〕
驹	〔驹・(駒)・駒〕
驺	〔驺・(騶)・騶〕
驻	〔驻・(駐)・駐〕
驼	〔驼・(駝)[駞]・駝〕
驽	〔驽・(駑)・駑〕
驾	〔驾・(駕)・駕〕
驿	〔驿・(驛)・驛〕
骀	〔骀・(駘)・駘〕
骁	〔骁・(驍)・驍〕
骂	〔骂・(駡)[傌罵]・罵〕
骃	〔骃・(駰)〕
骄	〔骄・(驕)・驕〕
骅	〔骅・(驊)・驊〕
骆	〔骆・(駱)・駱〕
骇	〔骇・(駭)・駭〕
骈	〔骈・(駢)・駢〕
骉	〔骉・(驫)〕
骊	〔骊・(驪)・驪〕
骋	〔骋・(騁)・騁〕
验	〔验・(驗)[騐]・驗〕
骍	〔骍・(騂)〕
骎	〔骎・(駸)・駸〕
骏	〔骏・(駿)・駿〕
骐	〔骐・(騏)・騏〕
骑	〔骑・(騎)・騎〕
骒	〔骒・(騍)・騍〕
骓	〔骓・(騅)・騅〕
骖	〔骖・(驂)・驂〕
骗	〔骗・(騙)・騙〕
骘	〔骘・(騭)・騭〕
骚	〔骚・(騷)・騷〕
骛	〔骛・(騖)・騖〕
骜	〔骜・(驁)・驁〕
骝	〔骝・(騮)・騮〕
骞	〔骞・(騫)・騫〕
骟	〔骟・(騸)・騸〕
骠	〔骠・(驃)・驃〕
骡	〔骡・(騾)[驘]・騾〕
骢	〔骢・(驄)・驄〕
骣	〔骣・(驏)〕
骤	〔骤・(驟)・驟〕
骥	〔骥・(驥)・驥〕
骧	〔骧・(驤)・驤〕
髅	〔髅・(髏)・髏〕
髋	〔髋・(髖)・髖〕
髌	〔髌・(髕)・髕〕
髯	〔髯・[髥]〕
鬃	〔鬃・[騌鬉騣]〕
鬓	〔鬓・(鬢)・鬢〕
魂	〔魂・[䰟]〕
魇	〔魇・(魘)・魘〕
魉	〔魉・(魎)・魎〕
鱼	〔鱼・(魚)・魚〕
鱽	〔鱽・(魛)・魛〕
鱿	〔鱿・(魷)・魷〕
鲀	〔鲀・(魨)〕
鲁	〔鲁・(魯)・魯〕
鲂	〔鲂・(魴)・魴〕
鲅	〔鲅・(鮁)〕
鲆	〔鲆・(鮃)〕
鲇	〔鲇・(鮎)・鯰〕
鲈	〔鲈・(鱸)・鱸〕
鲊	〔鲊・鮓〕
鲋	〔鲋・(鮒)・鮒〕
鲍	〔鲍・(鮑)・鮑〕
鲎	〔鲎・(鱟)・鱟〕
鲐	〔鲐・(鮐)・鮐〕
鲑	〔鲑・(鮭)・鮭〕
鲒	〔鲒・鮚〕
鲔	〔鲔・(鮪)・鮪〕
鲖	〔鲖・鮦〕
鲗	〔鲗・鰂〕
鲙	〔鲙・鱠〕
鲚	〔鲚・(鱭)・鱭〕
鲛	〔鲛・(鮫)・鮫〕
鲜	〔鲜・(鮮)[尠尟鱻]・鮮〕
鲞	〔鲞・(鮝)・鯗〕
鲟	〔鲟・(鱘)・鱘〕
鲠	〔鲠・(鯁)[骾]・鯁〕
鲡	〔鲡・(鱺)・鱺〕
鲢	〔鲢・(鰱)・鰱〕
鲣	〔鲣・(鰹)・鰹〕
鲤	〔鲤・(鯉)・鯉〕
鲥	〔鲥・(鰣)・鰣〕
鲦	〔鲦・鰷〕
鲧	〔鲧・(鯀)・鯀〕
鲨	〔鲨・(鯊)・鯊〕
鲩	〔鲩・(鯇)・鯇〕
鲫	〔鲫・(鯽)・鯽〕
鲭	〔鲭・鯖〕
鲮	〔鲮・(鯪)・鯪〕
鲰	〔鲰・鯫〕
鲱	〔鲱・(鯡)・鯡〕
鲲	〔鲲・(鯤)・鯤〕
鲳	〔鲳・(鯧)・鯧〕
鲴	〔鲴・(鯝)〕
鲵	〔鲵・(鯢)・鯢〕
鲷	〔鲷・(鯛)・鯛〕
鲸	〔鲸・(鯨)・鯨〕
鲻	〔鲻・(鯔)・鯔〕
鲼	〔鲼・(鱝)〕
鲽	〔鲽・(鰈)・鰈〕
鲿	〔鲿・鱨〕
鳀	〔鳀・(鯷)〕
鳁	〔鳁・鰮〕
鳃	〔鳃・(鰓)・鰓〕
鳄	〔鳄・(鰐)[鱷]・鱷〕
鳅	〔鳅・(鰍)[鰌]・鰍〕
鳆	〔鳆・鰒〕
鳇	〔鳇・(鰉)・鰉〕
鳊	〔鳊・(鯿)・鯿〕
鳌	〔鳌・(鰲)[鼇]・鼇〕
鳍	〔鳍・(鰭)・鰭〕
鳎	〔鳎・(鰨)・鰨〕
鳏	〔鳏・(鰥)・鰥〕
鳐	〔鳐・(鰩)〕
鳒	〔鳒・鰜〕
鳓	〔鳓・(鰳)・鰳〕
鳔	〔鳔・(鰾)・邊〕
鳕	〔鳕・(鱈)・鱈〕
鳖	〔鳖・(鱉)[鼈]・鱉〕
鳗	〔鳗・(鰻)・鰻〕
鳘	〔鳘・鰵〕
鳙	〔鳙・(鱅)・鱅〕
鳛	〔鳛・鰼〕
鳜	〔鳜・(鱖)・鱖〕
鳝	〔鳝・(鱔)[鱓]・鱔〕
鳞	〔鳞・(鱗)・鱗〕
鳟	〔鳟・(鱒)・鱒〕
鳢	〔鳢・(鱧)・鱧〕
鳣	〔鳣・鱣〕
鸟	〔鸟・(鳥)・鳥〕
鸠	〔鸠・(鳩)・鳩〕
鸡	〔鸡・(鷄)[雞]・雞〕
鸢	〔鸢・(鳶)・鳶〕
鸣	〔鸣・(鳴)・鳴〕
鸤	〔鸤・(鳲)〕
鸥	〔鸥・(鷗)・鷗〕
鸦	〔鸦・(鴉)[鵶]・鴉〕
鸧	〔鸧・(鶬)・鶬〕
鸨	〔鸨・(鴇)・鴇〕
鸩	〔鸩・(鴆)[酖]・鴆〕
鸪	〔鸪・(鴣)・鴣〕
鸫	〔鸫・(鶇)・鶇〕
鸬	〔鸬・(鸕)・鸕〕
鸭	〔鸭・(鴨)・鴨〕
鸮	〔鸮・(鴞)・鴞〕
鸯	〔鸯・(鴦)・鴦〕
鸰	〔鸰・(鴒)・鴒〕
鸱	〔鸱・(鴟)・鴟〕
鸲	〔鸲・(鴝)・鴝〕
鸳	〔鸳・(鴛)・鴛〕
鸵	〔鸵・(鴕)・鴕〕
鸶	〔鸶・(鷥)・鷥〕
鸷	〔鸷・(鷙)・鷙〕
鸸	〔鸸・(鴯)・鴯〕
鸹	〔鸹・(鴰)・鴰〕
鸺	〔鸺・鵂〕
鸻	〔鸻・(鴴)〕
鸼	〔鸼・鵃〕
鸽	〔鸽・(鴿)・鴿〕
鸾	〔鸾・(鸞)・鸞〕
鸿	〔鸿・(鴻)・鴻〕
鹁	〔鹁・(鵓)・鵓〕
鹂	〔鹂・(鸝)・鸝〕
鹃	〔鹃・(鵑)・鵑〕
鹄	〔鹄・(鵠)・鵠〕
鹅	〔鹅・(鵝)[鵞䳘]・鵝〕
鹆	〔鹆・(鵒)・鵒〕
鹇	〔鹇・(鷳)・鷳〕
鹈	〔鹈・(鵜)・鵜〕
鹉	〔鹉・(鵡)・鵡〕
鹊	〔鹊・(鵲)・鵲〕
鹋	〔鹋・(鶓)〕
鹌	〔鹌・(鵪)・鵪〕
鹏	〔鹏・(鵬)・鵬〕
鹐	〔鹐・(鵮)・鵮〕
鹑	〔鹑・(鶉)・鶉〕
鹒	〔鹒・鶊〕
鹕	〔鹕・(鶘)・鶘〕
鹖	〔鹖・鶡〕
鹗	〔鹗・(鶚)・鶚〕
鹘	〔鹘・(鶻)・鶻〕
鹙	〔鹙・鶖〕
鹚	〔鹚・(鷀)[鶿]・鶿〕
鹛	〔鹛・(鶥)・鶥〕
鹜	〔鹜・(鶩)・鶩〕
鹞	〔鹞・(鷂)・鷂〕
鹡	〔鹡・鶺〕
鹣	〔鹣・鶼〕
鹤	〔鹤・(鶴)・鶴〕
鹥	〔鹥・鷖〕
鹦	〔鹦・(鸚)・鸚〕
鹧	〔鹧・(鷓)・鷓〕
鹨	〔鹨・鷚〕
鹩	〔鹩・(鷯)・鷯〕
鹪	〔鹪・(鷦)・鷦〕
鹫	〔鹫・(鷲)・鷲〕
鹬	〔鹬・(鷸)・鷸〕
鹭	〔鹭・(鷺)・鷺〕
鹮	〔鹮・(䴉)〕
鹯	〔鹯・鸇〕
鹰	〔鹰・(鷹)・鷹〕
鹳	〔鹳・(鸛)・鸛〕
鹾	〔鹾・鹺〕
麟	〔麟・[麐]〕
麦	〔麦・(麥)・麥〕
麸	〔麸・(麩)[粰䴸]・麩〕
麻	〔麻・[蔴]〕
黉	〔黉・黌〕
黡	〔黡・黶〕
黩	〔黩・(黷)・黷〕
黪	〔黪・(黲)〕
黾	〔黾・(黽)・黽〕
鼋	〔鼋・(黿)・黿〕
鼍	〔鼍・(鼉)・鼉〕
鼓	〔鼓・[皷]〕
鼹	〔鼹・[鼴]〕
齐	〔齐・(齊)・齊〕
齑	〔齑・(齏)・齏〕
齿	〔齿・(齒)・齒〕
龀	〔龀・(齔)・齔〕
龁	〔龁・(齕)〕
龃	〔龃・(齟)・齟〕
龄	〔龄・(齡)・齡〕
龅	〔龅・(齙)・齙〕
龆	〔龆・齠〕
龇	〔龇・(齜)・齜〕
龈	〔龈・(齦)・齦〕
龉	〔龉・(齬)・齬〕
龊	〔龊・(齪)・齪〕
龋	〔龋・(齲)・齲〕
龌	〔龌・(齷)・齷〕
龙	〔龙・(龍)・龍〕
龚	〔龚・(龔)・龔〕
龛	〔龛・(龕)・龕〕
龟	〔龟・(龜)・龜〕
鿎	〔鿎・(䃮)〕
𣲗	〔𣲗・(湋)〕
𣲘	〔𣲘・(潕)〕
𨐈	〔𨐈・(輄)〕
𪟝	〔𪟝・(勣)〕
𪨶	〔𪨶・(輋)〕
𪾢	〔𪾢・(睍)〕
𫄧	〔𫄧・(綖)〕
𫄨	〔𫄨・(絺)〕
𫇭	〔𫇭・(蔿)〕
𫍣	〔𫍣・(詷)〕
𫐄	〔𫐄・(軏)〕
𫑡	〔𫑡・(鄳)〕
𫓧	〔𫓧・(鈇)〕
𫗧	〔𫗧・(餗)〕
𫘜	〔𫘜・(馼)〕
𫘝	〔𫘝・(駃)〕
𫠆	〔𫠆・(頍)〕
𫠊	〔𫠊・(䮄)〕
𫢸	〔𫢸・(僤)〕
𫭟	〔𫭟・(塸)〕
𫭢	〔𫭢・(埨)〕
𫭼	〔𫭼・(𡑍)〕
𫮃	〔𫮃・(墠)〕
𫰛	〔𫰛・(娙)〕
𫵷	〔𫵷・(㠣)〕
𫸩	〔𫸩・(彄)〕
𬀩	〔𬀩・(暐)〕
𬀪	〔𬀪・(晛)〕
𬂩	〔𬂩・(梜)〕
𬇕	〔𬇕・(澫)〕
𬇙	〔𬇙・(浿)〕
𬉼	〔𬉼・(熰)〕
𬊈	〔𬊈・(燖)〕
𬍛	〔𬍛・(瓅)〕
𬍤	〔𬍤・(璕)〕
𬒈	〔𬒈・(礐)〕
𬘓	〔𬘓・(紃)〕
𬘘	〔𬘘・(紞)〕
𬘡	〔𬘡・(絪)〕
𬘩	〔𬘩・(綎)〕
𬘫	〔𬘫・(綄)〕
𬜬	〔𬜬・(蔄)〕
𬜯	〔𬜯・(䓣)〕
𬞟	〔𬞟・蘋〕
𬣙	〔𬣙・(訏)〕
𬣞	〔𬣞・(詝)〕
𬣡	〔𬣡・(諓)〕
𬣳	〔𬣳・(詪)〕
𬨂	〔𬨂・(軝)〕
𬩽	〔𬩽・(鄩)〕
𬬩	〔𬬩・(釴)〕
𬬭	〔𬬭・(錀)〕
𬬮	〔𬬮・(鋹)〕
𬬱	〔𬬱・(釿)〕
𬬸	〔𬬸・(鉥)〕
𬬹	〔𬬹・(鉮)〕
𬬻	〔𬬻・(鑪)〕
𬬿	〔𬬿・(鉊)〕
𬭁	〔𬭁・(鉧)〕
𬮤	〔𬮤・閤〕
𬮿	〔𬮿・(隑)〕
𬯀	〔𬯀・(隮)〕
𬱖	〔𬱖・(頔)〕
𬳵	〔𬳵・(駓)〕
𬳶	〔𬳶・(駉)〕
𬳽	〔𬳽・(駪)〕
𬳿	〔𬳿・(駼)〕
