㑇	〔㑇・(㑳)〕
哝	〔哝・(噥)・噥〕
哟	〔哟・(喲)・喲〕
哲	〔哲・[喆]〕
唇	〔唇・[脣]・脣〕
唛	〔唛・(嘜)・嘜〕
唝	〔唝・(嗊)・嗊〕
唠	〔唠・(嘮)・嘮〕
唡	〔唡・啢〕
唢	〔唢・(嗩)・嗩〕
唣	〔唣・[唕]〕
啖	〔啖・[啗噉]〕
啧	〔啧・(嘖)・嘖〕
啬	〔啬・(嗇)・嗇〕
啭	〔啭・(囀)・囀〕
啮	〔啮・(嚙)[齧囓]・囓〕
啰	〔啰・(囉)・囉〕
啸	〔啸・(嘯)・嘯〕
啼	〔啼・[嗁]〕
喂	〔喂・[餧餵]〕
喋	〔喋・[啑]〕
喑	〔喑・[瘖]〕
喧	〔喧・[諠]〕
喷	〔喷・(噴)・噴〕
喽	〔喽・(嘍)・嘍〕
喾	〔喾・(嚳)・嚳〕
嗥	〔嗥・[嘷獋]〕
嗫	〔嗫・(囁)・囁〕
嗳	〔嗳・(噯)・噯〕
嗽	〔嗽・[𠻳]〕
嘎	〔嘎・[嘠]〕
嘤	〔嘤・(嚶)・嚶〕
嘱	〔嘱・(囑)・囑〕
嘻	〔嘻・[譆]〕
噜	〔噜・(嚕)・嚕〕
噪	〔噪・[譟]〕
嚣	〔嚣・(囂)・囂〕
回	〔回・(回|迴)[|廻逥]・迴〕
因	〔因・[囙]〕
团	〔团・(團|糰)・團|糰〕
园	〔园・(園)・園〕
困	〔困・(困|睏)・睏〕
围	〔围・(圍)・圍〕
囵	〔囵・(圇)・圇〕
国	〔国・(國)・國〕
图	〔图・(圖)・圖〕
圆	〔圆・(圓)・圓〕
圣	〔圣・(聖)・聖〕
圹	〔圹・(壙)・壙〕
场	〔场・(場)[塲]・場〕
址	〔址・[阯]〕
坂	〔坂・[阪岅]〕
坎	〔坎・[埳]〕
坏	〔坏・(壞)・壞〕
坑	〔坑・[阬]〕
块	〔块・(塊)・塊〕
坚	〔坚・(堅)・堅〕
坛	〔坛・(壇|罎)[|罈壜]・壇|罎〕
坜	〔坜・(壢)・壢〕
坝	〔坝・(垻|壩)・壩〕
坞	〔坞・(塢)[隖]・塢〕
坟	〔坟・(墳)・墳〕
坠	〔坠・(墜)・墜〕
坤	〔坤・[堃]〕
坳	〔坳・[㘭]〕
垄	〔垄・(壟)・壟〕
垆	〔垆・(壚)・壚〕
垒	〔垒・(壘)・壘〕
垛	〔垛・[垜]〕
垦	〔垦・(墾)・墾〕
垩	〔垩・(堊)・堊〕
垫	〔垫・(墊)・墊〕
垭	〔垭・(埡)・埡〕
垯	〔垯・(墶)〕
垱	〔垱・(壋)〕
垲	〔垲・(塏)・塏〕
埘	〔埘・(塒)・塒〕
埙	〔埙・(塤)[壎]・塤〕
埚	〔埚・(堝)・堝〕
堑	〔堑・(塹)・塹〕
堕	〔堕・(墮)・墮〕
堙	〔堙・[陻]〕
堤	〔堤・[隄]〕
塆	〔塆・(壪)〕
塍	〔塍・[堘]〕
塔	〔塔・[墖]〕
墙	〔墙・(墻)[牆]・牆〕
墩	〔墩・[墪]〕
壮	〔壮・(壯)・壯〕
声	〔声・(聲)・聲〕
壳	〔壳・(殻)・殼〕
壶	〔壶・(壺)・壺〕
壸	〔壸・(壼)・壼〕
处	〔处・(處)・處〕
备	〔备・(備)[俻]・備〕
复	〔复・(復|複)・復|複〕
夜	〔夜・[亱]〕
够	〔够・[夠]〕
夭	〔夭・[殀]〕
头	〔头・(頭)・頭〕
夸	〔夸・(夸|誇)・誇〕
夹	〔夹・(夾)[袷裌]・夾〕
夺	〔夺・(奪)・奪〕
奁	〔奁・(奩)[匲匳籨]・奩〕
奋	〔奋・(奮)・奮〕
奔	〔奔・[奔逩犇]〕
奖	〔奖・(奬)[獎]・獎〕
奶	〔奶・[妳嬭]〕
奸	〔奸・[姦]〕
妆	〔妆・(妝)[粧]・妝〕
妇	〔妇・(婦)[媍]・婦〕
妈	〔妈・(媽)・媽〕
妊	〔妊・[姙]〕
妒	〔妒・[妬]〕
妙	〔妙・[玅]〕
妩	〔妩・(嫵)・嫵〕
妪	〔妪・(嫗)・嫗〕
妫	〔妫・(嬀)・媯〕
姊	〔姊・[姉]〕
姗	〔姗・[姍]〕
姜	〔姜・(姜|薑)・薑〕
姻	〔姻・[婣]〕
娄	〔娄・(婁)・婁〕
娅	〔娅・(婭)・婭〕
娆	〔娆・(嬈)・嬈〕
娇	〔娇・(嬌)・嬌〕
娈	〔娈・(孌)・孌〕
娘	〔娘・[孃]〕
娲	〔娲・(媧)・媧〕
娴	〔娴・(嫻)[嫺]・嫻〕
婀	〔婀・[娿]〕
婪	〔婪・[惏]〕
婴	〔婴・(嬰)・嬰〕
婵	〔婵・(嬋)・嬋〕
婶	〔婶・(嬸)・嬸〕
婿	〔婿・[壻]〕
媭	〔媭・(嬃)〕
嫒	〔嫒・(嬡)・嬡〕
嫔	〔嫔・(嬪)・嬪〕
嫩	〔嫩・[嫰]〕
嫱	〔嫱・(嬙)・嬙〕
孙	〔孙・(孫)・孫〕
学	〔学・(學)・學〕
