柏	[栢]
栅	[柵]
柳	[栁桺]
柿	[柹]
栏	(欄)
柠	(檸)
树	(樹)
咸	(咸|鹹)
砖	(磚)[塼甎]
厘	[釐]
砚	(硯)
面	(面|麵)[|麪]
牵	(牽)
鸥	(鷗)
残	(殘)
轴	(軸)
轻	(輕)
鸦	(鴉)[鵶]
韭	[韮]
背	[揹]
战	(戰)
点	(點)
临	(臨)
览	(覽)
竖	(竪)[豎]
尝	(嘗)[甞嚐]
是	[昰]
哄	[閧鬨]
哑	(啞)
显	(顯)
冒	[冐]
映	[暎]
贵	(貴)
虾	(蝦)
蚁	(蟻)
蚂	(螞)
虽	(雖)
咽	[嚥]
骂	(駡)[傌罵]
勋	(勛)[勳]
哗	(嘩)[譁]
咱	[倃𠴰偺喒]
响	(響)
咬	[齩]
咳	[欬]
哟	(喲)
峡	(峽)
罚	(罰)[罸]
贱	(賤)
贴	(貼)
贻	(貽)
钙	(鈣)
钝	(鈍)
钞	(鈔)
钟	(鍾|鐘)
钢	(鋼)
钠	(鈉)
钥	(鑰)
钦	(欽)
钧	(鈞)
钩	(鈎)[鉤]
钮	(鈕)
矩	[榘]
毡	(氈)[氊]
氢	(氫)
选	(選)
适	(適)
种	(种|種)
秋	(秋|鞦)[秌𥤚|]
复	(復|複)
俩	(倆)
贷	(貸)
顺	(順)
修	[脩]
俭	(儉)
俊	[㑺儁]
须	(須|鬚)
叙	[敍敘]
剑	(劍)[劒]
胚	[肧]
胧	(朧)
胆	(膽)
胜	(勝)
脉	[脈䘑衇]
狭	(狹)[陿]
狮	(獅)
独	(獨)
狱	(獄)
贸	(貿)
饵	(餌)
饶	(饒)
蚀	(蝕)
饺	(餃)
饼	(餅)
峦	(巒)
弯	(彎)
将	(將)
奖	(奬)[獎]
迹	[跡蹟]
疮	(瘡)
疯	(瘋)
亲	(親)
闺	(閨)
闻	(聞)
闽	(閩)
阀	(閥)
阁	(閣)[閤]
养	(養)
姜	(姜|薑)
类	(類)
娄	(婁)
总	(總)
炼	(煉)[鍊]
烁	(爍)
炮	[砲礮]
烂	(爛)
剃	[薙鬀]
洼	(窪)
洁	(潔)[絜]
洒	(灑)
浇	(澆)
浊	(濁)
测	(測)
浏	(瀏)
济	(濟)
浑	(渾)
浓	(濃)
恒	[恆]
恍	[怳]
恤	[卹䘏賉]
恼	(惱)
举	(舉)[擧]
觉	(覺)
宪	(憲)
窃	(竊)
诫	(誡)
诬	(誣)
语	(語)
袄	(襖)
误	(誤)
诱	(誘)
诲	(誨)
说	(説)
诵	(誦)
垦	(墾)
昼	(晝)
费	(費)
逊	(遜)
陨	(隕)
险	(險)
姻	[婣]
娇	(嬌)
贺	(賀)
垒	(壘)
绑	(綁)
绒	(絨)[毧羢]
结	(結)
绕	(繞)[遶]
骄	(驕)
绘	(繪)
给	(給)
绚	(絢)
骆	(駱)
络	(絡)
绝	(絶)
绞	(絞)
骇	(駭)
统	(統)
耕	[畊]
艳	(艷)[豓豔]
蚕	(蠶)
顽	(頑)
盏	(盞)[琖醆]
捞	(撈)
载	(載)
赶	(趕)
盐	(鹽)
捍	[扞]
捏	[揑]
捆	[綑]
损	(損)
哲	[喆]
捡	(撿)
挽	[輓]
挚	(摯)
热	(熱)
捣	(搗)[𢷬擣]
壶	(壺)
耻	[恥]
耽	[躭]
聂	(聶)
莱	(萊)
莲	(蓮)
获	(獲|穫)
晋	[晉]
恶	(惡|噁)
莹	(瑩)
莺	(鶯)[鸎]
栖	[棲]
档	(檔)
桥	(橋)
桦	(樺)
桩	(樁)
核	[覈]
样	(樣)
栗	[慄]
贾	(賈)
翅	[翄]
唇	[脣]
砾	(礫)
础	(礎)
顾	(顧)
轿	(轎)
